x,y,z
6.06,10.90,10.90
7.49,9.98,12.20
5.96,10.10,10.80
7.02,11.10,11.00
5.69,10.40,9.35
8.15,11.30,13.00
7.57,9.86,12.40
7.93,9.26,12.10
7.05,10.10,12.20
7.75,9.27,12.70
7.04,9.52,12.30
6.77,11.50,12.70
7.65,11.60,13.70
7.50,9.78,12.80
7.67,10.40,12.00
6.55,11.00,11.60
7.43,6.44,12.40
6.96,10.60,12.20
8.26,10.10,13.50
7.80,9.73,13.20
8.51,9.66,13.30
7.53,10.10,12.00
7.48,9.89,13.10
7.49,9.18,12.40
7.50,8.49,13.10
6.50,10.00,10.80
6.29,9.03,11.40
7.22,11.40,11.90
9.15,8.33,13.80
6.88,10.50,11.70
7.73,8.52,13.10
7.63,10.40,13.20
6.51,9.74,11.50
7.44,8.68,12.70
6.71,10.70,12.70
6.04,10.70,10.00
6.96,9.17,11.10
8.23,11.40,14.30
6.52,9.64,11.10
6.93,10.50,12.90
7.08,9.04,11.70
7.67,10.50,12.40
7.17,10.50,11.80
7.03,9.40,11.30
6.80,7.33,10.60
7.16,11.80,12.90
6.67,10.30,12.50
7.26,8.86,12.20
6.12,9.99,9.82
8.00,9.00,13.00
7.28,8.62,11.30
7.21,8.30,10.80
6.78,9.90,11.30
7.47,9.50,12.30
7.46,9.16,12.10
6.18,10.30,11.10
7.18,8.51,11.90
7.65,7.70,11.70
8.04,9.35,13.60
7.75,8.82,12.50
6.38,11.80,11.70
7.38,11.30,13.80
7.31,9.29,12.90
6.50,10.40,11.20
5.83,11.50,11.30
8.61,9.92,13.20
7.31,9.27,12.10
6.47,9.08,9.97
7.37,10.50,12.70
6.16,9.29,9.69
6.70,12.40,11.90
7.07,10.00,11.70
8.20,10.10,13.30
6.75,10.30,11.40
7.25,9.05,12.40
6.16,10.80,11.30
6.40,11.00,11.00
6.68,8.62,11.90
6.63,11.00,11.40
7.07,9.41,12.10
7.66,8.62,12.90
7.49,10.20,12.90
6.74,10.10,11.80
6.89,6.80,11.00
7.04,8.21,12.00
7.57,10.90,13.60
8.36,9.93,14.10
6.86,10.40,11.40
7.08,11.70,11.90
8.37,7.98,13.10
7.57,8.34,12.60
7.40,9.01,11.80
6.88,10.90,12.20
4.96,11.60,9.35
5.89,10.50,10.00
7.53,8.11,13.00
6.47,8.49,10.80
6.94,8.59,11.80
7.35,10.30,11.60
7.36,8.85,12.60
6.17,9.76,10.70
7.68,10.40,12.60
6.18,11.80,12.00
6.42,9.26,11.90
7.82,9.60,13.00
5.99,11.10,10.10
6.83,11.00,10.90
8.27,9.77,14.20
8.02,10.10,13.30
7.41,10.10,13.80
8.14,9.82,12.90
7.60,10.70,13.10
7.50,9.31,12.10
8.06,11.00,14.30
6.82,8.52,11.20
6.72,11.20,11.70
5.81,12.80,11.10
6.79,9.74,11.00
6.59,8.32,11.40
7.67,11.50,12.30
7.43,9.80,12.10
5.21,10.10,9.92
6.74,9.79,11.60
7.78,10.70,13.30
6.74,9.99,11.50
7.43,9.77,12.50
6.40,10.50,11.40
7.02,10.70,12.10
6.25,11.10,10.80
6.85,10.90,11.90
7.29,12.20,13.20
7.43,9.99,12.40
7.93,9.61,13.30
6.54,12.60,12.20
6.75,10.30,12.00
6.31,9.86,10.50
7.51,7.91,11.60
6.24,11.70,11.00
7.30,8.81,12.10
7.60,8.61,12.10
4.81,10.40,9.76
7.06,9.92,12.70
6.83,10.00,12.50
5.35,10.90,10.70
7.66,10.00,13.00
7.07,8.45,12.50
8.05,8.81,13.70
7.09,9.78,12.00
7.52,9.13,13.10
7.01,8.29,11.20
7.31,10.00,12.70
7.46,13.10,13.50
6.56,8.99,10.70
7.59,9.47,12.50
5.72,9.43,9.09
7.75,9.75,13.50
7.14,10.30,11.30
8.12,10.70,13.60
7.28,11.00,12.00
6.47,9.18,11.50
7.05,9.83,11.90
7.40,9.67,11.80
6.48,9.23,11.80
7.18,11.80,12.50
7.77,8.80,11.80
7.33,9.32,12.30
7.15,11.00,12.10
7.16,10.50,12.50
7.24,10.10,11.60
6.52,11.80,11.80
7.26,10.50,12.90
7.11,9.05,12.20
6.81,9.04,12.40
7.44,10.20,11.60
6.14,11.60,11.50
6.14,10.20,10.70
8.12,8.34,13.20
7.62,9.66,13.20
6.29,10.30,11.00
6.41,10.20,12.00
7.29,8.50,13.00
6.79,9.74,11.30
7.47,9.25,12.80
7.73,8.62,12.30
7.25,11.30,12.40
7.45,11.20,12.40
7.21,9.75,12.30
7.71,8.36,12.90
6.80,10.70,12.00
7.31,9.38,12.60
6.14,10.10,10.60
7.51,9.08,13.00
8.44,9.67,13.90
6.14,10.20,10.70
7.68,10.80,11.80
7.28,10.90,12.70
6.74,9.79,11.60
6.06,9.22,10.60
7.34,10.00,12.50
7.15,11.30,12.70
8.11,10.10,13.40
6.41,8.46,10.50
7.48,10.70,12.80
6.80,9.11,10.90
7.67,9.95,12.80
6.59,8.98,11.90
5.63,10.10,9.40
6.22,9.98,12.10
7.07,8.55,12.20
7.22,7.41,11.30
6.86,8.44,10.90
5.93,9.61,11.00
7.09,9.90,13.40
8.00,11.00,13.10
7.95,11.00,13.50
8.08,9.55,13.10
5.25,9.88,9.61
7.61,8.36,12.40
7.34,10.80,12.70
6.99,10.10,11.10
7.71,10.80,12.70
6.66,8.98,11.00
5.12,10.90,9.82
6.17,11.50,11.50
7.05,9.58,12.20
7.52,10.20,13.30
7.95,8.75,12.90
6.99,10.70,12.00
7.52,9.22,12.70
6.75,9.03,11.70
7.91,10.50,13.40
8.13,9.17,12.90
6.79,7.49,11.30
7.52,7.68,11.60
7.05,10.70,12.80
6.32,11.10,11.00
7.51,9.66,11.70
6.05,8.21,11.40
5.86,10.70,10.30
6.56,9.74,10.70
7.37,9.20,12.40
7.45,8.72,13.30
6.43,10.00,10.90
7.44,8.87,12.70
6.13,10.00,10.90
7.82,8.70,12.10
5.93,10.80,11.10
5.82,9.90,10.50
6.97,8.55,11.60
7.12,9.52,11.70
5.81,8.07,10.50
6.79,11.10,11.90
6.38,11.10,11.10
7.62,7.74,12.70
7.14,8.51,10.80
7.60,10.70,12.80
6.96,10.60,12.30
5.61,9.94,9.24
6.65,8.14,11.10
5.57,12.00,10.80
6.95,11.20,12.10
6.75,9.69,11.20
6.55,10.80,11.80
7.39,11.00,12.30
7.10,9.88,12.70
6.70,7.91,9.52
6.71,10.40,11.70
7.43,9.71,12.30
6.95,9.80,12.30
7.45,7.50,11.70
6.97,9.56,11.50
6.76,11.40,10.70
6.51,10.90,11.90
6.53,11.00,11.20
7.64,11.10,13.20
7.04,8.33,11.40
6.73,9.75,12.00
6.63,11.30,12.20
6.86,6.86,10.70
6.29,10.80,11.20
6.72,10.70,11.70
7.52,9.61,12.50
8.07,9.68,14.00
6.90,9.55,11.20
6.95,9.16,11.60
6.80,12.60,12.10
5.23,10.60,9.34
7.33,8.79,11.50
6.46,11.30,11.80
7.08,9.62,12.50
7.93,9.72,12.30
6.56,11.50,11.40
7.09,10.70,11.80
6.67,10.70,12.30
6.90,10.60,11.90
6.48,10.50,11.20
6.46,8.90,11.00
7.16,9.13,12.30
6.34,10.10,10.70
6.05,11.70,11.00
7.48,9.97,12.40
6.52,8.33,12.10
7.79,11.10,13.60
8.06,10.00,12.80
7.63,10.40,13.80
7.60,8.93,12.60
6.36,10.10,10.40
7.01,10.80,12.40
6.79,9.63,12.00
7.02,10.30,11.50
6.36,9.80,11.60
6.89,8.61,11.50
7.60,10.20,13.30
6.70,11.50,11.50
7.34,9.25,12.40
7.29,9.03,12.40
7.19,10.60,12.40
7.81,9.25,12.80
7.30,9.55,11.40
6.61,8.09,11.40
6.19,9.34,10.60
6.55,9.62,10.20
7.78,9.48,12.90
7.24,7.30,11.10
7.16,8.41,11.90
8.17,8.84,13.50
7.57,10.90,13.30
6.36,10.80,11.90
6.11,10.90,11.50
5.69,11.00,11.00
6.48,10.20,11.60
6.01,11.50,10.70
7.10,8.61,11.80
6.56,9.11,11.20
6.61,9.28,11.80
8.19,9.27,14.00
6.22,9.81,12.00
6.11,10.90,11.90
6.61,10.40,11.20
7.37,9.10,12.50
8.13,9.15,13.30
6.64,10.90,10.50
7.07,8.74,12.20
6.68,10.30,11.50
7.76,9.23,11.90
6.29,9.44,10.40
7.33,10.70,13.10
7.28,7.95,12.20
7.47,9.76,12.80
6.97,9.68,12.10
7.41,10.40,12.40
6.63,10.50,12.20
7.80,9.63,12.80
7.99,9.08,12.90
7.25,10.10,12.30
7.01,9.83,11.00
7.20,11.60,13.40
7.74,8.53,12.60
7.38,11.00,12.10
6.27,10.50,11.00
7.49,10.00,12.00
7.48,10.10,13.40
7.01,9.43,11.70
7.38,10.30,12.90
6.86,10.10,11.40
6.62,9.01,10.60
6.46,11.30,10.80
6.63,9.72,10.60
5.58,11.00,11.10
6.92,10.20,12.60
6.39,11.40,12.00
5.60,8.38,9.45
8.56,9.02,14.20
6.51,10.30,11.40
7.88,10.90,13.60
7.23,9.53,10.90
7.49,10.50,13.20
5.60,9.90,10.10
6.64,9.72,11.50
7.72,8.38,12.20
6.83,9.98,11.70
7.73,10.80,11.80
6.08,9.20,9.94
8.28,8.76,14.00
6.67,11.00,11.90
6.54,11.40,12.30
7.95,10.30,14.50
7.61,8.87,12.80
6.50,10.80,12.60
7.00,9.61,11.60
7.11,9.65,13.00
7.05,8.69,13.30
7.05,9.68,12.10
7.17,9.59,12.60
7.38,9.15,12.90
6.58,11.00,11.80
8.21,9.04,14.00
7.76,8.96,13.20
6.86,9.12,11.50
6.12,10.70,10.80
6.98,8.57,11.60
6.39,8.72,10.90
7.26,8.88,12.30
7.04,9.11,11.20
6.73,9.36,11.60
5.99,11.10,10.30
6.22,9.23,10.10
6.19,12.30,11.00
6.90,9.74,11.30
7.23,9.46,12.40
6.16,11.70,11.20
6.37,10.80,11.80
7.41,8.64,11.80
7.87,9.14,13.30
7.47,10.70,13.10
7.34,9.34,12.10
8.21,8.43,13.40
7.58,10.00,13.20
7.12,10.30,10.60
7.43,7.33,11.80
6.81,10.70,12.30
8.36,11.40,14.00
7.38,9.05,13.70
6.57,10.20,12.20
6.58,10.80,12.10
6.65,12.60,11.70
6.95,11.10,11.90
6.80,9.01,11.60
5.99,10.20,10.20
6.98,8.51,12.80
6.85,9.58,10.70
7.04,10.90,12.10
6.42,9.16,11.00
6.84,10.60,11.90
7.52,10.70,13.00
7.00,10.10,11.20
6.91,10.60,11.90
7.42,10.30,11.90
6.70,10.10,11.90
8.25,9.47,13.40
6.96,9.74,12.40
8.30,10.60,13.00
6.54,11.70,12.80
8.53,10.40,14.20
6.81,10.50,11.20
6.44,11.80,10.90
6.71,8.67,11.60
6.93,8.89,11.70
7.13,9.74,12.20
7.29,11.20,13.50
6.60,11.10,11.80
6.57,11.00,11.50
6.19,8.92,10.40
7.67,12.20,12.80
7.61,9.22,13.20
7.44,9.91,12.60
6.81,11.00,11.90
7.60,10.50,12.40
5.94,10.00,11.60
6.19,9.80,10.80
7.19,11.30,12.00
6.52,10.20,12.10
7.22,9.33,12.50
7.65,11.20,12.40
7.37,9.27,11.30
7.23,10.90,12.60
6.30,9.82,10.70
7.18,8.32,11.50
7.07,9.79,12.10
6.54,11.70,11.90
6.61,12.10,11.90
6.41,12.80,12.20
8.81,8.12,15.20
6.84,8.85,11.50
6.72,7.87,11.90
7.50,11.50,12.70
6.95,9.03,11.00
7.62,8.33,12.50
7.13,9.63,12.10
6.50,10.00,10.80
7.42,9.12,11.80
8.22,8.42,12.90
8.87,9.13,14.50
7.93,9.35,13.50
7.45,9.51,12.40
7.39,12.00,12.70
6.14,10.10,10.40
6.58,10.60,12.80
7.57,9.22,13.00
5.96,11.00,10.40
6.30,9.97,10.90
7.97,10.00,12.50
7.16,9.60,12.20
6.55,9.31,11.20
6.84,9.01,11.80
7.00,8.94,10.80
7.59,7.41,13.10
6.39,10.40,10.10
5.74,11.40,10.80
7.40,9.57,12.10
7.37,9.12,11.70
7.27,11.30,12.20
8.28,7.45,13.00
7.97,9.09,13.40
7.84,10.30,12.80
7.95,9.42,13.20
7.04,11.50,11.70
5.92,10.90,10.60
7.17,11.00,11.90
7.09,10.30,11.60
6.34,9.66,11.60
7.81,10.70,13.40
6.98,10.00,11.80
7.70,9.61,12.50
8.49,9.99,14.60
7.90,8.78,12.80
6.85,8.92,11.70
8.03,9.01,12.80
7.66,8.97,12.20
7.37,10.70,11.60
6.13,11.40,10.70
6.33,9.13,11.90
6.95,9.53,11.00
7.13,10.20,12.50
7.19,9.62,12.60
7.20,9.19,11.10
8.83,8.75,13.70
8.50,8.91,13.10
6.34,9.45,11.20
6.72,10.70,11.50
5.70,9.79,10.50
8.23,8.59,13.70
7.86,10.80,13.20
5.32,10.40,10.40
6.92,9.56,11.30
8.02,10.70,13.80
6.74,10.20,11.60
7.57,8.39,11.90
7.56,10.50,13.40
7.41,8.93,12.50
7.19,9.92,11.90
6.38,10.50,12.10
7.49,9.59,12.60
6.84,9.77,11.50
7.52,11.00,13.10
7.46,9.72,11.40
5.12,9.80,9.11
5.87,10.20,10.70
6.97,10.60,12.30
8.06,10.30,14.10
7.59,9.70,12.90
7.29,9.21,12.10
7.45,10.20,12.40
7.61,8.51,13.70
6.10,11.20,10.20
6.56,8.77,11.00
7.56,9.35,13.40
6.67,10.10,12.50
7.14,11.10,13.00
7.29,8.84,12.60
6.32,10.60,11.40
6.50,10.00,11.20
7.20,11.10,13.60
7.28,8.65,11.80
7.09,8.45,11.00
6.13,10.60,11.30
6.02,11.40,9.57
5.69,10.50,10.40
6.07,9.92,11.60
6.17,11.00,10.80
7.80,9.15,13.20
7.38,8.86,13.20
6.24,10.10,12.20
5.91,11.60,11.50
7.91,8.68,13.10
6.87,10.90,11.90
7.27,11.20,12.10
7.01,9.22,11.80
7.30,10.70,12.70
6.48,10.50,11.60
7.24,8.74,11.60
6.77,13.00,12.60
7.65,10.30,12.70
7.12,10.40,12.20
6.49,9.25,10.90
6.94,10.40,12.50
6.74,9.84,11.00
6.76,9.82,10.70
7.03,8.87,12.60
5.64,10.00,10.10
6.96,9.36,12.10
6.22,10.70,11.10
8.86,9.83,13.90
6.28,10.10,10.80
7.68,9.79,13.00
7.39,9.84,12.30
5.35,9.97,9.10
8.21,10.10,13.00
6.94,9.69,12.10
6.58,9.67,11.00
5.71,10.50,10.70
6.83,11.20,11.80
6.78,11.20,12.30
6.87,11.50,11.90
8.07,11.70,14.20
5.70,12.00,11.20
8.34,9.03,13.00
7.36,9.46,11.90
8.54,8.15,13.20
6.25,10.40,11.50
6.40,11.60,11.90
6.61,9.82,11.40
6.70,10.40,11.70
6.84,9.12,12.30
6.77,8.59,11.50
6.85,8.61,11.60
7.26,10.40,11.80
7.21,10.90,12.70
6.97,11.30,12.70
7.27,9.68,13.40
6.47,10.10,11.90
6.73,10.00,12.50
7.59,9.25,13.10
8.70,8.93,14.20
6.75,8.79,12.00
6.43,10.30,10.00
6.07,11.00,10.90
7.59,8.78,13.20
6.49,8.63,10.70
6.86,9.94,11.80
6.73,9.07,12.20
7.27,10.10,11.70
7.23,9.33,11.70
5.64,10.70,10.20
8.02,10.10,13.70
6.73,10.10,11.20
7.25,9.23,11.60
6.32,9.57,11.20
6.99,9.83,12.00
6.28,10.80,10.10
8.33,9.25,14.30
7.16,9.54,12.00
7.41,10.30,12.90
6.67,12.00,12.10
5.64,9.86,10.40
7.08,10.50,11.90
7.48,10.80,12.80
6.96,7.82,10.40
6.88,8.38,12.10
6.58,10.70,12.00
7.70,10.20,13.50
6.73,11.30,11.10
6.63,10.10,11.10
5.53,10.30,10.40
7.64,7.60,11.40
7.06,8.43,12.40
6.86,9.77,12.00
7.78,12.20,13.80
7.83,8.78,14.00
7.61,9.14,12.50
7.15,12.10,12.50
6.38,12.00,10.20
7.03,10.10,12.40
6.92,9.08,11.70
7.43,9.84,12.10
6.26,10.10,10.60
7.60,8.56,12.10
7.12,11.10,12.50
7.22,10.20,11.60
7.38,8.88,11.50
7.08,9.03,11.80
6.59,11.60,11.80
6.23,8.89,10.40
5.56,12.00,9.80
7.58,7.94,12.00
7.12,9.98,11.70
8.38,8.74,13.20
6.88,8.83,11.50
7.75,8.57,11.20
7.10,10.00,12.10
6.08,10.20,10.80
6.25,10.70,11.90
8.17,8.47,13.50
6.69,9.36,12.70
6.70,11.00,11.70
6.05,10.60,11.30
7.33,8.94,12.30
6.34,9.99,10.70
6.81,11.70,11.50
7.22,9.38,11.60
8.06,7.42,12.50
7.63,10.40,12.30
7.19,10.10,12.10
6.89,9.30,11.50
6.51,8.97,10.60
7.21,11.70,13.20
6.26,12.00,11.50
7.93,10.80,13.20
6.22,9.68,10.60
7.74,9.12,13.50
7.34,9.56,12.40
6.84,10.10,12.10
6.57,11.00,11.30
7.41,9.49,12.40
6.79,9.72,11.80
5.90,11.00,11.20
6.97,9.43,12.60
6.85,10.40,11.60
8.17,8.55,13.70
8.58,8.65,13.70
7.73,11.20,14.60
6.69,9.42,11.40
7.51,9.90,13.60
6.04,9.78,11.00
6.33,10.80,11.80
6.52,8.03,11.00
7.36,11.70,12.60
8.13,8.67,13.80
5.71,9.65,9.96
7.44,9.81,12.20
5.91,10.80,10.50
6.54,11.40,11.40
7.98,8.93,14.00
7.71,9.25,12.30
7.43,10.60,12.40
7.50,8.01,12.90
7.11,9.21,12.40
5.64,11.40,9.66
6.20,11.80,10.50
6.34,10.30,11.20
7.26,9.88,12.30
7.49,9.20,13.00
7.12,11.60,12.10
7.07,10.60,12.20
6.28,9.53,10.30
6.26,9.83,10.70
7.53,8.22,12.70
7.66,11.40,13.00
7.70,9.03,12.60
8.52,7.37,13.80
7.47,10.80,12.50
8.20,8.19,13.10
7.28,10.20,11.70
7.65,9.23,12.60
6.73,10.90,12.30
6.29,10.00,10.60
5.85,11.30,10.20
7.39,10.10,12.80
6.65,11.40,12.10
6.34,10.10,10.40
7.39,9.90,12.30
6.14,9.06,10.90
6.78,12.10,11.60
7.76,10.80,13.50
7.24,9.17,11.70
6.72,10.90,12.50
7.03,9.83,12.60
6.98,10.50,11.50
6.75,11.00,11.70
7.59,10.00,12.20
7.00,10.20,11.60
6.95,8.87,12.10
6.15,9.97,10.30
7.56,9.83,12.00
6.26,12.30,11.60
7.85,9.30,12.70
6.53,12.70,11.80
7.55,9.41,12.60
6.96,10.30,10.90
5.98,11.30,11.80
6.12,10.80,11.30
6.74,9.08,11.80
6.66,9.45,11.30
6.26,10.50,11.30
7.26,10.70,12.90
7.50,11.70,13.10
5.62,9.91,10.40
7.53,8.63,13.20
5.74,10.60,10.10
6.89,10.50,12.10
7.09,10.60,11.10
7.37,9.47,12.20
7.19,10.40,12.10
6.97,8.31,11.40
7.18,7.36,13.10
6.29,8.53,11.00
5.36,10.50,10.20
7.16,10.30,13.10
6.80,9.75,11.20
6.35,9.62,10.70
7.77,11.00,13.40
6.53,10.30,12.10
6.33,10.10,10.60
6.34,10.60,10.80
7.85,9.76,13.30
7.42,9.02,11.70
6.54,9.41,11.50
7.14,8.35,11.90
6.07,11.40,11.50
7.02,9.18,11.40
7.43,8.60,11.60
7.25,9.55,12.60
7.37,8.26,12.00
7.10,10.40,12.10
6.81,9.11,12.20
8.11,12.10,13.70
7.61,8.37,13.70
7.18,9.50,11.70
6.54,10.50,11.20
8.31,9.88,13.40
5.81,9.34,10.10
7.24,9.83,12.50
6.34,11.90,11.50
7.79,7.98,12.80
6.20,10.50,11.00
7.48,9.29,13.50
6.38,10.30,11.10
6.99,9.59,12.00
7.71,9.74,12.80
7.27,9.60,12.40
6.46,11.00,12.20
6.71,10.20,12.00
7.03,10.80,12.30
7.67,10.90,13.10
6.22,9.81,11.50
5.90,12.80,10.50
6.53,9.12,11.50
7.18,8.17,11.90
6.10,10.20,11.40
5.28,9.77,10.30
7.16,11.00,12.50
6.39,10.90,10.60
7.79,9.24,12.40
8.26,8.71,15.10
7.38,10.80,12.90
6.99,10.80,11.70
6.98,10.20,12.60
6.92,10.80,11.50
6.54,9.87,12.20
6.69,9.82,11.90
7.28,8.33,12.60
6.83,8.33,11.60
6.84,10.00,11.70
7.42,10.00,12.90
6.80,8.50,11.90
8.13,10.20,13.40
6.39,9.09,10.80
7.25,10.00,11.90
5.38,9.90,9.41
6.84,10.60,12.20
6.72,9.37,11.20
6.91,9.25,12.20
6.83,10.10,11.90
6.24,9.02,10.60
6.77,10.20,11.70
7.32,8.33,12.00
6.56,10.90,12.00
7.64,11.10,12.50
7.24,9.25,12.10
7.89,10.40,13.40
7.39,9.80,13.80
7.67,11.10,12.10
8.17,8.85,13.40
6.85,10.70,12.10
6.19,10.50,11.70
6.62,10.50,12.10
5.60,12.90,10.70
6.40,10.70,11.50
6.13,10.90,11.40
6.29,13.70,11.50
7.33,8.39,13.60
6.71,11.20,12.30
7.11,10.10,12.30
6.46,8.33,11.50
8.19,7.84,12.70
6.93,11.50,12.40
6.63,8.14,10.60
7.00,8.15,12.00
6.31,9.10,11.50
7.76,8.99,12.40
6.88,9.64,11.10
5.49,10.40,10.30
6.89,10.60,11.30
8.08,10.80,14.30
8.33,10.80,13.60
6.32,10.80,10.10
6.96,9.49,11.50
5.88,12.30,11.00
6.74,11.90,11.70
7.96,10.60,13.20
6.83,10.50,11.90
7.88,10.90,12.90
5.95,11.10,11.50
7.19,9.52,11.90
5.89,11.30,10.80
7.25,8.84,12.10
7.22,8.44,11.50
7.83,9.47,12.50
6.49,10.20,11.60
6.59,10.50,11.20
7.35,9.44,12.60
8.22,9.29,13.90
6.97,8.91,12.50
7.20,9.99,11.90
7.25,10.70,12.90
6.75,10.40,11.20
6.88,10.10,12.20
6.03,8.91,10.30
6.81,10.40,11.90
8.52,8.37,13.10
7.52,9.17,13.10
7.20,10.40,12.90
6.18,8.44,9.80
8.11,9.99,15.10
7.23,10.70,12.30
6.85,9.43,12.40
7.34,8.75,12.20
6.66,9.90,10.70
7.75,10.40,13.70
6.78,10.70,11.50
7.45,9.24,12.80
7.28,8.69,13.10
6.17,7.89,10.80
7.36,11.10,13.50
5.11,11.40,10.20
5.74,11.30,11.40
6.13,12.10,10.90
6.19,12.10,10.50
7.29,8.67,12.60
7.89,8.80,12.80
6.19,9.80,11.50
6.54,11.60,10.90
6.89,10.30,11.30
6.83,8.89,11.10
7.17,10.40,12.10
5.29,13.50,14.30
5.90,7.95,12.80
2.94,11.70,11.60
9.32,14.60,15.90
7.56,9.67,14.60
6.58,14.40,7.46
3.81,5.94,10.90
5.23,8.15,11.40
8.62,14.20,13.80
4.20,11.20,15.30
7.30,9.51,12.80
7.00,7.87,11.30
4.79,13.30,14.20
6.64,10.10,13.30
1.94,13.00,14.10
7.27,9.25,15.20
13.30,8.86,13.30
7.28,8.10,11.80
7.00,12.10,12.50
8.08,9.26,8.52
10.50,10.70,11.50
5.44,10.50,12.40
9.37,11.40,12.90
6.96,10.40,12.10
4.98,11.80,12.40
8.18,9.45,12.30
8.86,7.13,9.63
7.59,12.10,8.65
4.12,6.25,13.00
8.76,6.69,12.90
4.96,10.90,14.70
10.80,10.40,10.70
7.28,13.20,11.50
4.35,8.81,10.90
3.22,13.60,17.40
8.35,7.35,14.20
4.02,10.10,15.80
7.59,9.20,12.80
0.38,8.92,14.30
4.81,10.50,10.40
2.84,8.75,3.99
1.96,6.80,4.05
3.42,9.38,3.76
2.87,7.06,3.84
3.46,8.38,3.68
2.78,8.04,4.05
1.80,6.75,4.12
3.13,9.45,3.92
2.76,7.04,4.19
2.76,7.79,3.96
3.13,7.06,3.79
4.16,6.26,4.02
3.16,9.46,3.68
3.68,7.75,4.31
4.19,8.47,4.04
2.23,6.67,3.96
3.26,6.76,3.99
3.52,6.40,3.54
3.59,8.97,3.97
2.67,6.33,4.25
2.81,8.24,3.94
3.08,8.63,4.15
3.10,8.31,3.89
3.76,7.54,3.98
1.81,9.73,4.10
1.87,9.50,3.88
2.76,9.58,4.17
2.76,7.79,3.90
2.78,9.04,3.80
2.12,8.00,3.79
2.23,7.07,3.79
2.86,7.03,4.10
3.80,9.73,3.51
3.40,7.79,4.43
3.44,7.10,3.76
3.99,8.36,3.89
4.07,7.60,3.39
3.19,7.96,4.51
2.37,8.11,3.82
3.03,6.95,4.20
2.77,8.64,4.18
3.66,8.63,3.50
2.71,9.38,4.01
1.29,9.08,4.06
2.55,7.76,4.01
2.49,7.54,4.09
3.05,8.59,3.77
3.13,8.62,3.76
3.08,8.24,3.84
3.24,8.69,4.12
3.51,9.26,4.04
1.65,6.75,3.73
3.32,9.01,4.04
2.55,6.91,3.93
2.99,8.31,3.83
2.72,7.25,4.16
2.74,8.82,3.85
3.01,6.59,3.84
2.14,9.78,4.06
2.29,7.67,4.11
2.88,8.40,3.91
2.74,7.92,3.84
3.48,8.96,3.98
3.25,9.20,3.91
3.45,6.38,3.82
3.44,8.50,3.93
3.48,7.89,4.17
4.05,7.31,3.62
3.60,8.89,3.69
2.37,6.75,3.89
3.76,10.10,3.69
2.73,8.16,4.08
2.43,8.62,3.84
3.05,7.44,3.94
2.98,7.64,3.86
2.77,8.48,3.96
2.69,8.87,3.90
2.88,7.45,4.22
2.27,8.81,4.18
3.15,8.63,3.77
2.22,8.40,3.68
2.57,8.67,3.88
3.63,7.67,4.10
3.23,6.78,4.02
3.80,9.43,4.22
2.68,6.71,3.85
2.17,6.10,3.75
1.83,9.73,4.10
2.78,9.64,3.96
2.64,7.82,4.27
3.80,8.26,4.00
3.09,7.54,4.04
2.60,8.34,3.60
2.49,8.40,4.10
3.24,5.66,4.27
3.57,5.70,4.22
2.36,8.24,4.25
3.11,6.71,3.73
3.96,7.78,3.96
2.57,8.62,4.06
2.50,8.87,4.13
2.52,7.89,3.60
2.90,7.10,4.30
3.26,7.88,3.79
3.36,7.11,3.94
2.77,6.44,4.30
3.51,7.52,3.73
4.23,8.75,4.10
2.54,7.45,4.06
4.14,7.77,3.74
2.94,7.92,4.03
2.88,6.83,4.03
2.77,10.20,4.14
3.70,7.41,3.95
3.19,7.24,4.05
2.87,8.63,3.81
2.87,8.25,4.07
3.12,7.28,3.84
3.44,9.88,4.23
3.31,7.25,4.33
2.22,7.67,3.87
3.01,9.10,3.69
3.99,7.73,4.00
2.92,7.89,3.98
4.11,8.54,3.68
3.43,7.50,3.96
3.40,8.60,4.32
2.88,8.72,3.84
3.42,9.12,4.03
2.42,10.10,4.40
2.38,8.96,4.00
2.12,7.46,3.88
3.18,9.71,4.04
2.53,6.31,3.83
3.14,8.80,3.72
2.80,7.84,3.99
3.60,8.39,4.13
4.32,7.00,4.07
3.59,7.64,4.06
2.53,8.51,4.03
3.10,11.00,4.09
2.88,6.47,3.64
3.02,8.81,3.92
2.46,8.36,3.99
3.68,7.62,3.76
2.89,7.13,4.10
2.69,9.39,4.49
3.76,9.39,3.66
1.84,8.97,3.83
2.39,8.54,3.96
3.38,8.50,3.86
3.11,6.61,4.09
3.65,7.48,3.86
2.60,7.35,4.14
2.68,6.74,3.92
3.58,9.22,4.10
2.70,6.60,3.75
3.47,8.36,4.18
2.37,9.97,3.57
3.30,8.70,4.23
3.22,5.60,4.02
3.04,9.45,3.57
2.52,7.22,4.19
2.63,7.94,3.46
3.61,9.36,4.24
2.93,8.33,4.20
3.05,7.64,3.92
2.98,7.70,3.80
0.62,9.25,4.47
4.39,7.12,3.87
2.85,7.72,4.10
2.45,9.55,3.97
2.77,8.42,3.87
2.61,7.34,3.34
3.71,9.01,3.85
3.41,8.59,3.93
3.10,8.16,3.95
3.53,6.20,3.66
3.14,5.91,3.95
2.99,8.02,4.18
3.31,6.15,4.20
3.20,8.58,3.93
3.89,8.49,4.35
2.67,8.96,4.05
3.14,8.08,4.11
2.65,9.36,4.19
2.54,9.31,3.64
3.96,8.12,3.75
2.72,7.84,4.15
2.86,7.52,3.94
3.29,10.20,4.07
